owner,repo,full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,created_at,updated_at,pushed_at
Mause,duckdb_engine,Mause/duckdb_engine,https://github.com/Mause/duckdb_engine,SQLAlchemy driver for DuckDB,Python,462,57,76,False,2020-09-28T07:09:14Z,2025-10-02T15:14:42Z,2025-10-02T20:44:14Z
vmware,versatile-data-kit,vmware/versatile-data-kit,https://github.com/vmware/versatile-data-kit,"One framework to develop, deploy and operate data workflows with Python and SQL.",Python,460,60,250,False,2021-07-20T08:28:09Z,2025-09-25T14:02:56Z,2025-09-29T20:44:41Z
1kbgz,tributary,1kbgz/tributary,https://github.com/1kbgz/tributary,Streaming reactive and dataflow graphs in Python,Python,458,37,11,False,2018-09-08T02:58:57Z,2025-09-08T23:25:34Z,2025-09-08T23:25:32Z
xorq-labs,xorq,xorq-labs/xorq,https://github.com/xorq-labs/xorq,multi-engine batch transformation framework,Python,447,19,50,False,2023-09-26T12:51:03Z,2025-10-02T14:04:40Z,2025-10-02T17:30:50Z
dbt-labs,dbt-spark,dbt-labs/dbt-spark,https://github.com/dbt-labs/dbt-spark,This repository has moved into https://github.com/dbt-labs/dbt-adapters,Python,442,241,7,True,2019-03-21T03:26:25Z,2025-09-29T17:41:22Z,2025-07-16T19:47:33Z
blockchain-etl,bitcoin-etl,blockchain-etl/bitcoin-etl,https://github.com/blockchain-etl/bitcoin-etl,"ETL scripts for Bitcoin, Litecoin, Dash, Zcash, Doge, Bitcoin Cash. Available in Google BigQuery https://goo.gl/oY5BCQ",Python,438,133,27,False,2018-09-13T07:13:25Z,2025-09-30T15:05:36Z,2025-05-02T12:54:07Z
databrickslabs,dbldatagen,databrickslabs/dbldatagen,https://github.com/databrickslabs/dbldatagen,"Generate relevant synthetic data quickly for your projects.  The Databricks Labs synthetic data generator (aka `dbldatagen`) may be used to generate large simulated / synthetic data sets for test, POCs, and other uses in Databricks environments including in Delta Live Tables pipelines",Python,430,81,48,False,2019-07-23T11:42:56Z,2025-09-27T09:10:58Z,2025-09-23T14:29:06Z
blockchain-etl,ethereum-etl-airflow,blockchain-etl/ethereum-etl-airflow,https://github.com/blockchain-etl/ethereum-etl-airflow,"Airflow DAGs for exporting, loading, and parsing the Ethereum blockchain data. How to get any Ethereum smart contract into BigQuery https://towardsdatascience.com/how-to-get-any-ethereum-smart-contract-into-bigquery-in-8-mins-bab5db1fdeee",Python,428,200,28,False,2018-08-21T17:01:21Z,2025-09-29T19:55:12Z,2025-07-06T02:34:28Z
apache,airflow-client-python,apache/airflow-client-python,https://github.com/apache/airflow-client-python,Apache Airflow - OpenApi Client for Python,Python,425,63,10,False,2020-06-28T11:20:41Z,2025-10-02T12:15:17Z,2025-06-13T11:54:39Z
DataRecce,recce,DataRecce/recce,https://github.com/DataRecce/recce,The data-validation toolkit for enhanced dbt (data build tool) PR review,Python,423,21,18,False,2023-10-06T08:14:25Z,2025-10-01T09:51:48Z,2025-10-02T16:58:49Z
ethyca,fides,ethyca/fides,https://github.com/ethyca/fides,The Privacy Engineering & Compliance Framework,Python,422,85,271,False,2021-02-04T22:42:33Z,2025-10-02T20:32:23Z,2025-10-02T23:16:33Z
neuml,paperetl,neuml/paperetl,https://github.com/neuml/paperetl,📄 ⚙️ ETL processes for medical and scientific papers,Python,398,30,2,False,2020-07-10T17:44:24Z,2025-09-15T14:08:48Z,2025-08-02T12:22:53Z
databricks,delta-live-tables-notebooks,databricks/delta-live-tables-notebooks,https://github.com/databricks/delta-live-tables-notebooks,,Python,396,276,0,False,2021-05-05T16:15:27Z,2025-09-27T03:49:51Z,2025-09-15T18:51:01Z
meta-pytorch,torchx,meta-pytorch/torchx,https://github.com/meta-pytorch/torchx,TorchX is a universal job launcher for PyTorch applications. TorchX is designed to have fast iteration time for training/research and support for E2E production ML pipelines when you're ready.,Python,392,146,129,False,2021-05-04T18:06:53Z,2025-10-02T19:50:18Z,2025-10-02T21:00:59Z
dbt-labs,dbt-mcp,dbt-labs/dbt-mcp,https://github.com/dbt-labs/dbt-mcp,A MCP (Model Context Protocol) server for interacting with dbt.,Python,388,65,23,False,2025-03-12T20:13:12Z,2025-10-02T21:52:06Z,2025-10-02T21:52:03Z
astronomer,astro-sdk,astronomer/astro-sdk,https://github.com/astronomer/astro-sdk,"Astro SDK allows rapid and clean development of {Extract, Load, Transform} workflows using Python and SQL, powered by Apache Airflow.",Python,375,50,193,True,2021-12-06T16:43:50Z,2025-08-24T12:13:51Z,2025-05-19T18:22:36Z
long2ice,meilisync,long2ice/meilisync,https://github.com/long2ice/meilisync,Realtime sync data from MySQL/PostgreSQL/MongoDB to Meilisearch,Python,366,53,56,False,2023-02-26T14:46:11Z,2025-09-28T13:15:27Z,2025-04-14T15:59:57Z
fedspendingtransparency,usaspending-api,fedspendingtransparency/usaspending-api,https://github.com/fedspendingtransparency/usaspending-api,Server application to serve U.S. federal spending data via a RESTful API,Python,364,139,73,False,2016-08-10T15:39:45Z,2025-10-02T17:08:33Z,2025-10-02T20:19:01Z
confluentinc,confluent-kafka-python,confluentinc/confluent-kafka-python,https://github.com/confluentinc/confluent-kafka-python,Confluent's Kafka Python Client,Python,355,932,225,False,2016-04-14T07:40:41Z,2025-10-02T17:39:56Z,2025-10-02T08:47:25Z
feluelle,airflow-diagrams,feluelle/airflow-diagrams,https://github.com/feluelle/airflow-diagrams,Auto-generated Diagrams from Airflow DAGs. 🔮 🪄,Python,349,30,8,False,2020-06-29T11:13:10Z,2025-09-21T06:30:59Z,2025-09-29T17:49:23Z
gabledata,recap,gabledata/recap,https://github.com/gabledata/recap,"Work with your web service, database, and streaming schemas in a single format.",Python,343,26,20,False,2022-12-07T17:50:44Z,2025-09-08T23:23:41Z,2025-09-06T20:53:37Z
motherduckdb,mcp-server-motherduck,motherduckdb/mcp-server-motherduck,https://github.com/motherduckdb/mcp-server-motherduck,MCP server for DuckDB and MotherDuck,Python,337,44,10,False,2024-12-12T23:37:11Z,2025-09-30T20:40:53Z,2025-09-30T20:40:50Z
mozilla,bigquery-etl,mozilla/bigquery-etl,https://github.com/mozilla/bigquery-etl,Bigquery ETL,Python,325,117,227,False,2019-02-05T20:01:09Z,2025-10-02T21:53:07Z,2025-10-02T22:37:59Z
Bl3f,yato,Bl3f/yato,https://github.com/Bl3f/yato,The smallest DuckDB SQL orchestrator on Earth.,Python,324,7,2,False,2024-02-28T12:04:46Z,2025-09-30T09:33:41Z,2025-05-05T06:19:33Z
dcaribou,transfermarkt-datasets,dcaribou/transfermarkt-datasets,https://github.com/dcaribou/transfermarkt-datasets,"⚽️ Extract, prepare and publish Transfermarkt datasets.",Python,318,76,31,False,2020-12-26T17:33:52Z,2025-09-29T20:28:49Z,2025-06-14T16:16:33Z
typedef-ai,fenic,typedef-ai/fenic,https://github.com/typedef-ai/fenic,Build reliable AI and agentic applications with DataFrames,Python,317,19,27,False,2025-06-16T20:16:50Z,2025-10-02T21:16:59Z,2025-10-02T03:50:06Z
databrickslabs,dqx,databrickslabs/dqx,https://github.com/databrickslabs/dqx,Databricks framework to validate Data Quality of pySpark DataFrames,Python,316,63,66,False,2024-04-23T18:28:43Z,2025-10-02T21:59:14Z,2025-10-02T23:11:09Z
quintoandar,butterfree,quintoandar/butterfree,https://github.com/quintoandar/butterfree,A tool for building feature stores.,Python,312,37,4,False,2020-01-03T13:12:04Z,2025-09-25T23:45:48Z,2025-06-30T17:14:15Z
ClickHouse,dbt-clickhouse,ClickHouse/dbt-clickhouse,https://github.com/ClickHouse/dbt-clickhouse,The Clickhouse plugin for dbt (data build tool),Python,311,143,99,False,2021-01-29T14:10:43Z,2025-10-02T10:49:23Z,2025-10-02T17:08:17Z
kraina-ai,quackosm,kraina-ai/quackosm,https://github.com/kraina-ai/quackosm,QuackOSM: an open-source Python and CLI tool for reading OpenStreetMap PBF files using DuckDB,Python,311,16,24,False,2023-12-28T11:26:41Z,2025-09-15T22:09:06Z,2025-09-01T21:01:50Z
NVlabs,GatedDeltaNet,NVlabs/GatedDeltaNet,https://github.com/NVlabs/GatedDeltaNet,[ICLR 2025] Official PyTorch Implementation of Gated Delta Networks: Improving Mamba2 with Delta Rule,Python,310,13,4,False,2024-12-05T02:14:18Z,2025-10-02T12:58:51Z,2025-09-15T05:31:12Z
grai-io,grai-core,grai-io/grai-core,https://github.com/grai-io/grai-core,,Python,308,21,30,False,2022-06-09T16:16:22Z,2025-09-05T02:09:38Z,2025-10-01T22:42:58Z
airbytehq,PyAirbyte,airbytehq/PyAirbyte,https://github.com/airbytehq/PyAirbyte,PyAirbyte brings the power of Airbyte to every Python developer.,Python,300,65,164,False,2024-02-04T05:10:15Z,2025-10-02T22:52:18Z,2025-10-02T23:19:26Z
databricks,dbt-databricks,databricks/dbt-databricks,https://github.com/databricks/dbt-databricks,A dbt adapter for Databricks.,Python,298,161,123,False,2021-10-19T16:26:44Z,2025-10-01T22:09:27Z,2025-10-02T22:22:55Z
